defined_class,defined_class_label,chemical,chemical_label,material,material_label,,,,,,,,,,
SRPDIO:1000114,,CHEBI:35115,elemental manganese,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000115,,CHEBI:35113,elemental mercury,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000116,,CHEBI:37237,elemental molybdenum,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000117,,CHEBI:155868,elemental nickel,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000118,,CHEBI:155922,elemental niobium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000119,,CHEBI:33464,elemental phosphorus,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000120,,CHEBI:37247,elemental potassium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000121,,CHEBI:155923,elemental rubidium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000122,,CHEBI:36904,elemental selenium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000123,,CHEBI:37763,elemental silicon,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000124,,CHEBI:33966,elemental silver,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000125,,CHEBI:37246,elemental sodium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000126,,CHEBI:39131,elemental strontium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000127,,CHEBI:33403,elemental sulfur,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000128,,CHEBI:36660,elemental tellurium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000129,,CHEBI:37113,elemental thallium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000130,,CHEBI:155924,elemental thorium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000131,,CHEBI:37767,elemental tin,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000132,,CHEBI:155870,elemental titanium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000133,,CHEBI:131925,elemental tungsten,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000134,,CHEBI:50559,elemental uranium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000135,,CHEBI:35171,elemental vanadium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000136,,CHEBI:155925,elemental yttrium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000137,,CHEBI:37253,elemental zinc,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000138,,CHEBI:33628,elemental aluminium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000139,,CHEBI:36922,elemental antimony,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000140,,CHEBI:35826,elemental arsenic,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000141,,CHEBI:37134,elemental barium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000142,,CHEBI:33784,elemental beryllium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000143,,CHEBI:85541,elemental bismuth,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000144,,CHEBI:33609,elemental boron,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000145,,CHEBI:37249,elemental cadmium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000146,,CHEBI:155919,elemental caesium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000147,,CHEBI:35155,elemental calcium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000148,,CHEBI:37265,elemental cerium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000149,,CHEBI:155866,elemental chromium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000150,,CHEBI:155865,elemental cobalt,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000151,,CHEBI:37404,elemental copper,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000152,,CHEBI:155920,elemental gallium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000153,,CHEBI:33970,elemental gold,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000154,,CHEBI:37114,elemental indium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000155,,CHEBI:82663,elemental iron,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000156,,CHEBI:155921,elemental lanthanum,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000157,,CHEBI:37193,elemental lead,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000158,,CHEBI:155867,elemental lithium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000159,,CHEBI:33973,elemental magnesium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000160,,CHEBI:35115,elemental manganese,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000161,,CHEBI:35113,elemental mercury,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000162,,CHEBI:37237,elemental molybdenum,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000163,,CHEBI:155868,elemental nickel,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000164,,CHEBI:155922,elemental niobium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000165,,CHEBI:33464,elemental phosphorus,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000166,,CHEBI:37247,elemental potassium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000167,,CHEBI:155923,elemental rubidium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000168,,CHEBI:36904,elemental selenium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000169,,CHEBI:37763,elemental silicon,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000170,,CHEBI:33966,elemental silver,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000171,,CHEBI:37246,elemental sodium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000172,,CHEBI:39131,elemental strontium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000173,,CHEBI:33403,elemental sulfur,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000174,,CHEBI:36660,elemental tellurium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000175,,CHEBI:37113,elemental thallium,ENVO:00002263,garden soil,,,,,,,,,,
